26314,26.13,0,1,0,718,-0.03,0.10,-2.00,-17.00,-15.44,-0.09
27320,26.08,0,1,0,745,0.11,-0.10,2.00,-88.24,-49.73,4.24
28326,26.18,0,1,1,748,-0.00,0.09,-2.00,75.29,42.40,-3.34
29332,26.13,0,1,0,712,-0.06,0.16,-1.01,-37.23,-24.25,2.05
30338,26.08,0,1,1,751,-0.02,-0.08,2.00,-48.28,-15.57,3.48
31343,26.04,0,1,1,751,0.05,0.02,-2.00,105.80,47.73,-6.45
32350,26.08,0,1,0,718,0.02,0.04,-2.00,-12.54,-8.73,0.62
33355,26.18,0,1,1,730,0.24,0.17,2.00,-91.82,-45.32,4.49
34361,26.04,0,1,1,756,0.17,-0.11,2.00,46.98,14.69,-4.15
35367,26.18,0,1,1,752,0.08,0.04,-2.00,80.99,48.38,-3.59
36373,26.13,0,1,0,725,0.06,0.04,-2.00,-16.47,-11.24,1.35
37379,26.18,0,1,0,718,0.06,0.16,0.44,-34.40,-26.95,1.44
38384,26.18,0,1,0,736,-0.01,0.18,2.00,-102.99,-41.67,6.90
39391,26.18,0,1,1,758,-0.05,-0.14,2.00,-38.85,-3.57,2.78
40396,26.08,0,1,1,770,0.02,-0.06,-0.21,71.40,33.22,-2.42
41402,26.22,0,1,0,765,0.04,-0.13,-2.00,80.02,43.77,-4.31
42407,26.08,0,1,1,754,0.15,-0.04,-2.00,69.91,31.95,-4.10
43414,26.13,0,1,0,741,0.18,-0.06,-2.00,54.09,23.60,-4.11
44420,26.08,0,1,0,735,0.15,-0.01,-2.00,-3.88,-1.45,1.72
45425,26.08,0,1,0,728,0.12,-0.06,-2.00,-6.27,-6.59,1.18
46431,26.18,0,1,0,725,0.11,-0.05,-2.00,-19.02,-15.26,1.77
47437,26.13,0,1,0,729,0.16,-0.05,-2.00,-13.27,-11.58,1.22
48443,26.18,0,1,0,735,0.18,-0.01,-2.00,4.89,1.85,0.66
49448,26.18,0,1,0,743,0.21,-0.14,-2.00,46.73,23.30,-3.28
50454,26.13,0,1,1,754,0.21,-0.19,-2.00,67.36,30.17,-4.67
51461,26.08,0,1,1,771,0.02,-0.13,-2.00,84.76,40.22,-5.88
52466,26.13,0,1,1,773,0.02,0.09,-0.02,90.27,36.93,-3.09
53472,26.22,0,1,1,760,-0.21,0.13,2.00,14.89,17.31,-0.46
54478,26.18,0,1,1,736,-0.02,0.29,2.00,-88.89,-36.17,5.85
55484,26.22,0,1,0,718,0.07,0.23,0.79,-35.26,-27.97,3.11
56489,26.18,0,1,0,726,0.15,-0.10,-2.00,-6.28,-6.69,0.89
57495,26.08,0,1,1,763,0.12,-0.23,-2.00,77.87,37.98,-4.74
58502,26.13,0,1,1,772,0.12,0.03,2.00,61.98,24.96,-1.85
59507,26.18,0,1,1,724,0.15,0.41,2.00,-93.18,-43.81,5.04
60513,26.13,0,1,0,727,0.09,-0.20,-2.00,-9.93,-6.17,-0.02
61518,26.22,0,1,1,776,0.17,-0.24,-2.00,88.88,34.52,-5.59
62525,26.18,0,1,0,757,-0.17,0.08,2.00,-75.69,-42.33,1.60
63531,26.13,0,1,0,712,-0.02,-0.05,-2.00,-21.12,-14.82,0.20
64536,26.18,0,1,1,769,0.10,-0.35,-2.00,85.47,43.34,-4.79
65543,26.18,0,1,0,743,-0.09,0.22,2.00,-128.72,-59.12,9.90
