Temperature (C),Humidity (%),Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Mag X,Mag Y,Mag Z,Distance (cm),Cluster,Cluster Name
24.4,61.7,-1709.0859375,-7817.343750000001,1161.10546875,344.0853658536586,138.96341463414635,151.70731707317074,-5.55,-31.35,-18.6,2.32,7,"Low Temp, Low Vibration"
24.4,61.8,-2429.5078125,-6805.687500000001,4755.55078125,-374.51219512195127,-67.92682926829269,-52.926829268292686,-4.65,-29.4,-11.85,2.33,3,"Stable High Temp, Low Vibration"
24.5,61.9,-754.9101562500001,-8173.72265625,1440.8437500000002,-154.32926829268294,33.90243902439025,31.280487804878053,-8.1,-28.05,-24.15,2.32,7,"Low Temp, Low Vibration"
24.5,62.1,-1138.11328125,-7223.378906250001,3640.4296875,-158.59756097560978,-47.804878048780495,255.9756097560976,-3.45,-34.35,-16.95,2.31,7,"Low Temp, Low Vibration"
24.5,62.1,-1774.2304687500002,-7821.175781250001,823.88671875,-320.609756097561,6.219512195121951,62.7439024390244,2.1,-25.95,-48.9,2.32,3,"Stable High Temp, Low Vibration"
24.5,62.2,-2736.0703125,-6840.175781250001,3422.00390625,26.15853658536585,137.6219512195122,-279.1463414634147,-0.3,-30.3,-22.2,2.32,3,"Stable High Temp, Low Vibration"
24.5,62.2,7644.90234375,-3100.11328125,3395.1796875,-346.89024390243907,-580.1829268292684,947.5,-21.15,-17.55,-14.85,2.32,14,
24.6,62.3,2598.1171875,-3368.35546875,-6924.480468750001,-39.39024390243903,-443.6585365853659,316.6463414634147,-14.55,-16.5,-36.45,2.31,7,"Low Temp, Low Vibration"
24.5,62.3,126.45703125,-785.5664062500001,-7426.476562500001,-1234.878048780488,50.2439024390244,28.292682926829272,-8.25,-16.2,-36.45,2.32,6,"Unstable Operation, High Vibration"
24.6,62.2,99.6328125,-222.2578125,-7633.40625,-167.9268292682927,0.4878048780487805,-45.670731707317074,-10.95,-16.05,-42.3,2.33,7,"Low Temp, Low Vibration"
24.6,62.2,-114.9609375,-295.06640625,-7736.87109375,-26.28048780487805,-3.536585365853659,-9.26829268292683,-7.949999999999999,-16.95,-39.6,2.32,2,"Moderate Temp, Moderate Vibration"
24.6,62.2,-130.2890625,-1184.09765625,-7644.90234375,-3.231707317073171,-3.658536585365854,9.085365853658535,-7.05,-16.349999999999998,-40.2,2.32,2,"Moderate Temp, Moderate Vibration"
24.6,62.1,34.48828125,-1345.0429687500002,-7763.695312500001,-5.426829268292684,-22.25609756097561,16.646341463414636,-10.05,-15.9,-41.1,2.32,2,"Moderate Temp, Moderate Vibration"
24.6,61.8,11.49609375,-1268.40234375,-7733.039062500001,-1.524390243902439,19.695121951219512,-17.926829268292686,-10.05,-14.7,-40.65,2.33,2,"Moderate Temp, Moderate Vibration"
24.7,61.3,-107.296875,-1268.40234375,-7736.87109375,5.670731707317073,-9.26829268292683,-9.451219512195122,-10.35,-15.15,-41.4,2.33,2,"Moderate Temp, Moderate Vibration"
24.7,60.9,-45.984375,-1249.2421875,-7618.078125000001,3.841463414634146,-18.963414634146343,-1.8902439024390243,-9.9,-15.3,-39.75,2.32,2,"Moderate Temp, Moderate Vibration"
24.7,60.5,-107.296875,-1276.06640625,-7748.3671875,-2.1951219512195124,7.987804878048781,-26.402439024390247,-10.2,-15.3,-38.4,2.32,2,"Moderate Temp, Moderate Vibration"
24.7,60.3,-49.81640625,-1318.2187500000002,-7694.71875,-6.097560975609756,-12.682926829268292,20.0,-9.45,-13.05,-39.75,2.32,2,"Moderate Temp, Moderate Vibration"
24.7,60.3,11.49609375,-1184.09765625,-7667.894531250001,-3.719512195121952,8.048780487804878,3.109756097560976,-10.5,-14.85,-38.4,2.33,2,"Moderate Temp, Moderate Vibration"
24.7,60.2,-49.81640625,-1379.5312500000002,-7694.71875,2.1341463414634148,-2.0121951219512195,13.04878048780488,-10.65,-14.7,-39.3,2.32,2,"Moderate Temp, Moderate Vibration"
24.7,60.3,-22.9921875,-1272.234375,-7664.0625,-28.71951219512196,2.682926829268293,-6.402439024390245,-8.25,-13.95,-40.05,2.32,2,"Moderate Temp, Moderate Vibration"
