Timestamp,Temperature,Humidity,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Mag X,Mag Y,Mag Z,Distance,Cluster
7/16/2024 6:20,25.4,71.9,-126.4570313,-712.7578125,-7752.199219,-39.87804878,-3.353658537,-12.43902439,0.45,-26.4,16.05,3.29,8
7/16/2024 6:20,25.5,71.7,-34.48828125,-820.0546875,-7802.015625,12.98780488,-21.70731707,2.073170732,0.75,-26.4,17.85,3.3,8
7/16/2024 6:20,25.5,71.6,-160.9453125,-843.046875,-7694.71875,-2.865853659,11.8902439,-36.95121951,0.45,-28.2,16.05,3.3,8
7/16/2024 6:20,25.5,71.5,-26.82421875,-908.1914063,-7828.839844,-22.19512195,12.31707317,-6.280487805,0.15,-26.4,17.4,3.29,8
7/16/2024 6:20,25.6,71.4,-130.2890625,-850.7109375,-7771.359375,-15.30487805,4.329268293,-15.06097561,0.75,-27.15,16.35,3.3,8
7/16/2024 6:20,25.6,71.3,-141.7851563,-777.9023438,-7759.863281,13.17073171,-7.743902439,1.402439024,1.5,-26.85,16.8,3.29,8
7/16/2024 6:20,25.6,71.3,-160.9453125,-858.375,-7794.351563,-21.09756098,-0.548780488,2.804878049,2.25,-25.35,17.1,3.3,8
7/16/2024 6:20,25.7,71.2,-149.4492188,-812.390625,-7782.855469,-6.219512195,7.865853659,-20.36585366,0.15,-24.9,17.1,3.29,8
7/16/2024 6:20,25.7,71.2,-107.296875,-820.0546875,-7721.542969,-1.707317073,-1.707317073,-11.8902439,0.0,-27.3,18.0,3.3,8
7/16/2024 6:20,25.7,71.1,-42.15234375,-774.0703125,-7836.503906,-24.57317073,7.743902439,-22.31707317,0.0,-25.5,18.3,3.28,8
7/16/2024 6:21,25.7,71.1,-126.4570313,-889.03125,-7740.703125,8.292682927,0.914634146,20.24390244,0.3,-25.5,17.25,3.29,8
7/16/2024 6:21,25.7,71.0,-65.14453125,-835.3828125,-7621.910156,6.646341463,3.170731707,-10.54878049,0.3,-26.25,18.3,3.29,8
7/16/2024 6:21,25.8,70.9,15.328125,-659.109375,-7346.003906,10.18292683,1.585365854,10.91463415,2.4,-26.55,15.9,3.29,0
7/16/2024 6:21,25.8,70.9,-126.4570313,-873.703125,-7683.222656,-11.95121951,18.17073171,-20.36585366,19.8,-20.4,5.85,3.29,0
7/16/2024 6:21,25.8,70.9,-65.14453125,-731.9179688,-7698.550781,-22.92682927,16.2804878,-10.12195122,9.15,-22.95,-10.35,3.28,8
7/16/2024 6:21,25.8,70.8,-68.9765625,-896.6953125,-8120.074219,16.2195122,-13.65853659,5.426829268,13.2,-53.85,-12.3,3.29,8
7/16/2024 6:21,25.8,70.8,-153.28125,-846.8789063,-7717.710938,20.79268293,-7.56097561,-4.756097561,6.45,-56.1,-6.75,3.29,8
7/16/2024 6:21,25.9,70.7,-114.9609375,-789.3984375,-7756.03125,11.2195122,-6.646341463,2.256097561,8.25,-56.4,-6.3,3.29,8
7/16/2024 6:21,25.9,70.7,-49.81640625,-808.5585938,-7844.167969,-8.475609756,16.64634146,-5.0,8.25,-55.35,-6.3,3.29,8
7/16/2024 6:21,25.9,70.5,-180.1054688,-743.4140625,-7828.839844,3.048780488,8.048780488,-15.79268293,6.15,-56.85,-7.05,3.3,8
7/16/2024 6:21,25.9,70.3,-49.81640625,-823.8867188,-7736.871094,-17.43902439,9.817073171,-30.12195122,7.35,-55.5,-6.45,3.29,8
7/16/2024 6:21,25.9,70.2,-103.4648438,-885.1992188,-7667.894531,25.97560976,-13.17073171,23.17073171,6.45,-56.4,-4.65,3.29,8
7/16/2024 6:21,25.9,70.1,-130.2890625,-820.0546875,-7813.511719,-9.87804878,16.03658537,-1.280487805,6.9,-55.65,-6.0,3.29,8
